NCODE,No,ECLATER (catalogue 4),REPERE (info_libre),REFERENCE (info_libre),DESIGN. Français (langue2),ANGLAIS (désignation),ANCIEN CODE (info_libre),EMPLACEMENT,FAMILLE,,CATALOG1,CATALOG2,CATALOG3,UNITE,REPERE2,ECLATE2,REPERE3,ECLATE3,REPERE4,ECLATE4,REPERE5,ECLATE5,REPERE6,ECLATE6,REPERE7,ECLATE7,REPERE8,ECLATE8,REPERE9,ECLATE9,REPERE10,ECLATE10,REPERE11,ECLATE11,REPERE12,ECLATE12,REPERE13,ECLATE13,REPERE14,ECLATE14,REPERE15,ECLATE15,RMRQ,REF_ALT,,PICT1,PICT2,PICT3,PICT4
7123-COUV01-005,19,01CYLINDER BLOCK,10110,65.01105-1157H,COUVRE PALIER,CAP BEARING ,0,RD22,7PDR,6POUT,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-COUV01-006,20,01CYLINDER BLOCK,-,65.01105-1179C,COUVRE PALIER,CAP BEARING ,0,RD22,7PDR,6POUT,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-COUV01-007,21,01CYLINDER BLOCK,10130,65.01105-1159G,COUVRE PALIER,CAP BEARING ,0,RD22,7PDR,6POUT,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-COUV01-008,22,01CYLINDER BLOCK,-,65.01105-1178B,COUVRE PALIER,CAP BEARING ,0,RD22,7PDR,6POUT,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-JOIN01-001,23,01CYLINDER BLOCK,10330,65.96601-0012,JOINT TURBO CHARGER,GASKET; TURBO CHARGER OIL RETURN,0701-GASK00-125,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0007,0,0,0
7123-LOGE01-001,24,01CYLINDER BLOCK,20020,65.05406-0020,LOGEMENT|SOUPAPE,HOUSING;RELIEF VALVE,0,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-NEZ 01-001,25,01CYLINDER BLOCK,10360,65.01601-6002,NEZ D'INJECTEUR CIRCULATION HUILE,NOZZLE ; OIL SPRAY,0701-NOZZ00-004,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Oil-Spray-Nozzle-for,0,0
7123-OBTU01-001,26,01CYLINDER BLOCK,10340,65.91615-0015,OBTURATEUR,COVER;BLIND,0,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
7123-PIST01-001,27,01CYLINDER BLOCK,20030,65.05410-0015,PISTON|SOUPAPE,PLUNGER ; RELIEF VALVE,0701-PLUG00-005,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,PIÈCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMG_0012,0,0,0
7123-RESS01-001,28,01CYLINDER BLOCK,20060,65.97601-0100,RESSORT,SPRING,0,RD22,7PDR,7PDR,,MOTEUR PRINCIPALE,DOOSAN,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
